X坐標,Y坐標,原地址,結果地址,說明
179803.960,2540280.280,臺南市關廟區關廟里中山路2段258號,臺南市關廟區關廟里4鄰中山路二段258號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
166029.590,2541301.370,臺南市南區彰南里新義路8之1號??,臺南市南區彰南里15鄰新義路8號,[臺南市]	 { 模糊比對 } (南區)	找到符合的[鄉鎮市區]，(彰南里)	找到符合的[村里]，(新義路)	找到符合的[路街名]，(8之1號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
165821.730,2541838.760,臺南市南區彰南里新仁路29號,臺南市南區彰南里13鄰新仁路29號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
177914.310,2503549.915,高雄市前金區中正四路84號2樓,高雄市前金區長興里8鄰中正四路84號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
175940.380,2541273.810,臺南市歸仁區南興里南興街19號1樓,臺南市歸仁區南興里13鄰南興街19號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
181400.465,2503262.879,高雄市苓雅區中正一路120號9樓之2,高雄市苓雅區正大里4鄰中正一路120號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
167144.350,2547308.990,臺南市安南區溪墘里海佃路1段242號1樓,臺南市安南區溪墘里5鄰海佃路一段242號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
181076.640,2539918.280,臺南市關廟區香洋里南雄路1段1160號1樓,臺南市關廟區香洋里25鄰南雄路一段1160號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
165439.420,2540711.180,臺南市南區彰南里新樂路96號,臺南市南區彰南里20鄰新樂路96號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
178219.510,2540685.250,臺南市歸仁區中山路1段411號7樓??,臺南市歸仁區許厝里7鄰中山路一段411號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
168617.730,2543471.360,臺南市中西區永華里開山路52巷5號,臺南市中西區永華里15鄰開山路52巷5號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
165382.360,2544327.550,臺南市安平區平安里安平路408之2號5樓,臺南市安平區平安里8鄰安平路408之3號,[臺南市]	 { 模糊比對 } (安平區)	找到符合的[鄉鎮市區]，(平安里)	找到符合的[村里]，(安平路)	找到符合的[路街名]，(408之2號)	找到符合的[門牌號碼]，進行[雙號過濾]，進行[找大於且最接近門牌的號之、之號]，找到大於輸入的門牌的號之、之號 1 號，模糊比對找到 1 筆符合的門牌地址。
170496.430,2535713.290,臺南市仁德區二行里二仁路1段165之2號,臺南市仁德區二行里1鄰二仁路一段165之2號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
171950.870,2548926.200,臺南市永康區鹽行里中正路573號,臺南市永康區?行里12鄰中正路573號,[臺南市]	 { 模糊比對 } (永康區)	找到符合的[鄉鎮市區]，(鹽行里)	找不到符合的[村里]，進行轉換搜尋[村變成里，里變成村]，轉換搜尋找不到進行[忽略村里]，(中正路)	找到符合的[路街名]，(573號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
166027.680,2541024.240,臺南市南區彰南里新義南路13號??,臺南市南區彰南里17鄰新義南路13號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
175390.170,2534517.280,臺南市歸仁區大潭里長榮路1段335號,臺南市歸仁區大潭里3鄰長榮路一段335號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
162901.940,2549057.700,臺南市安南區科技一路22號,臺南市安南區顯宮里3鄰科技一路22號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
170674.460,2536280.540,臺南市仁德區保安里保安路ㄧ段70號,臺南市仁德區保安里3鄰保安路一段70號,[臺南市]	 { 模糊比對 } (仁德區)	找到符合的[鄉鎮市區]，(保安里)	找到符合的[村里]，(保安路)	找到符合的[路街名]，(ㄧ段)	找不到符合的[路段]，(70號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
162514.980,2544242.380,臺南市安平區金城里安北路720號,臺南市安平區金城里13鄰安北路720號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
170544.140,2541728.280,臺南市東區崇德里崇明十三街11巷66號,臺南市東區崇德里18鄰崇明十三街11巷66號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
