¤é´Á,®É¶¡,ºõ¦W,«U¦W,¾Ç¦W,°ê®a¤½¶é,¸g«×,½n«×,¤£·Ç«×
20091021,18:05,­÷¨Åºõ,ªF¨È®a½»,Pipistrellus abramus,TJ,120.0838330,23.2154720,
20091022,08:00,­÷¨Åºõ,¯äñç,Suncus murinus,TJ,120.0838330,23.2154720,
20091022,08:00,­÷¨Åºõ,¤pÅeñç,Crocidura shantungensis,TJ,120.0838330,23.2154720,
20091023,08:00,­÷¨Åºõ,¨ë¹«,Niviventer coninga,TJ,120.0838330,23.2154720,
20091022,08:00,­÷¨Åºõ,®aø{¹«,Mus musculus,TJ,120.0838330,23.2154720,
20091023,08:00,­÷¨Åºõ,½q¨l¤p¹«,Rattus exulans,TJ,120.0919500,23.2127600,
20091029,21:05,­÷¨Åºõ,¥Õ»ó¤ß,Paguma larvata taivana,TJ,120.0450300,23.0745100,
20091021,22:00,­÷¨Åºõ,ªF¨È®a½»,Pipistrellus abramus,TJ,120.0450300,23.0745100,
20091023,09:00,­÷¨Åºõ,¯äñç,Suncus murinus,TJ,120.0450300,23.0745100,
20091022,09:00,­÷¨Åºõ,·¾¹«,Rattus norvegicus,TJ,120.0450300,23.0745100,
20091023,09:00,­÷¨Åºõ,¨ë¹«,Niviventer coninga,TJ,120.0448300,23.0780600,
20091023,09:00,­÷¨Åºõ,¤p¶À¸¡¹«,Rattus losea,TJ,120.0448300,23.0780600,
20091023,09:00,­÷¨Åºõ,®aø{¹«,Mus musculus,TJ,120.0448300,23.0780600,
20091023,09:00,­÷¨Åºõ,½q¨l¤p¹«,Rattus exulans,TJ,120.0448300,23.0780600,
20091024,20:00,­÷¨Åºõ,ªF¨È®a½»,Pipistrellus abramus,TJ,120.1020200,23.0288900,
20091024,09:00,­÷¨Åºõ,¯äñç,Suncus murinus,TJ,120.0932220,23.0329440,
20091024,10:00,­÷¨Åºõ,¤pÅeñç,Crocidura shantungensis,TJ,120.1020200,23.0288900,
