統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
103Y06M,67000,臺南市,67000010,新營區,28351,78384,
103Y06M,67000,臺南市,67000020,鹽水區,10044,26424,
103Y06M,67000,臺南市,67000030,白河區,10982,29956,
103Y06M,67000,臺南市,67000040,柳營區,7819,21879,
103Y06M,67000,臺南市,67000050,後壁區,8894,24681,
103Y06M,67000,臺南市,67000060,東山區,8287,22021,
103Y06M,67000,臺南市,67000070,麻豆區,15422,45139,
103Y06M,67000,臺南市,67000080,下營區,9122,25210,
103Y06M,67000,臺南市,67000090,六甲區,7741,23041,
103Y06M,67000,臺南市,67000100,官田區,7762,21764,
103Y06M,67000,臺南市,67000110,大內區,3983,10318,
103Y06M,67000,臺南市,67000120,佳里區,20128,59445,
103Y06M,67000,臺南市,67000130,學甲區,9647,27052,
103Y06M,67000,臺南市,67000140,西港區,7989,24850,
103Y06M,67000,臺南市,67000150,七股區,8106,23641,
103Y06M,67000,臺南市,67000160,將軍區,7348,20644,
103Y06M,67000,臺南市,67000170,北門區,4382,11764,
103Y06M,67000,臺南市,67000180,新化區,14106,43844,
103Y06M,67000,臺南市,67000190,善化區,15921,45510,
103Y06M,67000,臺南市,67000200,新市區,11451,35412,
103Y06M,67000,臺南市,67000210,安定區,9697,30255,
103Y06M,67000,臺南市,67000220,山上區,2701,7536,
103Y06M,67000,臺南市,67000230,玉井區,5134,14669,
103Y06M,67000,臺南市,67000240,楠西區,3549,10144,
103Y06M,67000,臺南市,67000250,南化區,2863,8892,
103Y06M,67000,臺南市,67000260,左鎮區,1988,5208,
103Y06M,67000,臺南市,67000270,仁德區,26400,72714,
103Y06M,67000,臺南市,67000280,歸仁區,21822,67300,
103Y06M,67000,臺南市,67000290,關廟區,10876,34968,
103Y06M,67000,臺南市,67000300,龍崎區,1584,4304,
103Y06M,67000,臺南市,67000310,永康區,80618,227598,
103Y06M,67000,臺南市,67000320,東區,71994,191047,
103Y06M,67000,臺南市,67000330,南區,44520,125616,
103Y06M,67000,臺南市,67000340,北區,49535,132337,
103Y06M,67000,臺南市,67000350,安南區,59498,186533,
103Y06M,67000,臺南市,67000360,安平區,24331,64549,
103Y06M,67000,臺南市,67000370,中西區,30848,78393,
103Y09M,67000,臺南市,67000010,新營區,28434,78267,
103Y09M,67000,臺南市,67000020,鹽水區,10056,26348,
103Y09M,67000,臺南市,67000030,白河區,11002,29858,
103Y09M,67000,臺南市,67000040,柳營區,7834,21861,
103Y09M,67000,臺南市,67000050,後壁區,8894,24633,
103Y09M,67000,臺南市,67000060,東山區,8295,21963,
103Y09M,67000,臺南市,67000070,麻豆區,15454,45072,
103Y09M,67000,臺南市,67000080,下營區,9130,25167,
103Y09M,67000,臺南市,67000090,六甲區,7731,22895,
103Y09M,67000,臺南市,67000100,官田區,7781,21754,
103Y09M,67000,臺南市,67000110,大內區,3970,10263,
103Y09M,67000,臺南市,67000120,佳里區,20239,59522,
103Y09M,67000,臺南市,67000130,學甲區,9658,26951,
103Y09M,67000,臺南市,67000140,西港區,8026,24913,
103Y09M,67000,臺南市,67000150,七股區,8124,23632,
103Y09M,67000,臺南市,67000160,將軍區,7347,20597,
103Y09M,67000,臺南市,67000170,北門區,4377,11721,
103Y09M,67000,臺南市,67000180,新化區,14182,43806,
103Y09M,67000,臺南市,67000190,善化區,16209,45893,
103Y09M,67000,臺南市,67000200,新市區,11502,35463,
103Y09M,67000,臺南市,67000210,安定區,9735,30281,
103Y09M,67000,臺南市,67000220,山上區,2698,7515,
103Y09M,67000,臺南市,67000230,玉井區,5145,14636,
103Y09M,67000,臺南市,67000240,楠西區,3553,10123,
103Y09M,67000,臺南市,67000250,南化區,2870,8908,
103Y09M,67000,臺南市,67000260,左鎮區,2001,5199,
103Y09M,67000,臺南市,67000270,仁德區,26516,72956,
103Y09M,67000,臺南市,67000280,歸仁區,21913,67399,
103Y09M,67000,臺南市,67000290,關廟區,10887,34898,
103Y09M,67000,臺南市,67000300,龍崎區,1577,4297,
103Y09M,67000,臺南市,67000310,永康區,81013,228264,
103Y09M,67000,臺南市,67000320,東區,71969,190360,
103Y09M,67000,臺南市,67000330,南區,44694,125650,
103Y09M,67000,臺南市,67000340,北區,49728,132459,
103Y09M,67000,臺南市,67000350,安南區,59892,187160,
103Y09M,67000,臺南市,67000360,安平區,24489,64745,
103Y09M,67000,臺南市,67000370,中西區,30847,78064,
103Y12M,67000,臺南市,67000010,新營區,28426,78231,
103Y12M,67000,臺南市,67000020,鹽水區,10065,26322,
103Y12M,67000,臺南市,67000030,白河區,10978,29731,
103Y12M,67000,臺南市,67000040,柳營區,7843,21828,
103Y12M,67000,臺南市,67000050,後壁區,8887,24589,
103Y12M,67000,臺南市,67000060,東山區,8282,21920,
103Y12M,67000,臺南市,67000070,麻豆區,15450,45067,
103Y12M,67000,臺南市,67000080,下營區,9111,25068,
103Y12M,67000,臺南市,67000090,六甲區,7715,22832,
103Y12M,67000,臺南市,67000100,官田區,7796,21706,
103Y12M,67000,臺南市,67000110,大內區,3972,10248,
103Y12M,67000,臺南市,67000120,佳里區,20276,59533,
103Y12M,67000,臺南市,67000130,學甲區,9647,26949,
103Y12M,67000,臺南市,67000140,西港區,8044,24896,
103Y12M,67000,臺南市,67000150,七股區,8125,23608,
103Y12M,67000,臺南市,67000160,將軍區,7339,20568,
103Y12M,67000,臺南市,67000170,北門區,4369,11691,
103Y12M,67000,臺南市,67000180,新化區,14203,43782,
103Y12M,67000,臺南市,67000190,善化區,16290,46100,
103Y12M,67000,臺南市,67000200,新市區,11516,35482,
103Y12M,67000,臺南市,67000210,安定區,9763,30298,
