統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
97Y09M,10011,臺南縣,10011140,西港鄉,7617,25440,
97Y09M,10011,臺南縣,10011150,七股鄉,7781,25227,
97Y09M,10011,臺南縣,10011160,將軍鄉,7281,21862,
97Y09M,10011,臺南縣,10011170,北門鄉,4187,12483,
97Y09M,10011,臺南縣,10011180,新化鎮,13273,44536,
97Y09M,10011,臺南縣,10011190,善化鎮,13837,42995,
97Y09M,10011,臺南縣,10011200,新市鄉,10522,35357,
97Y09M,10011,臺南縣,10011210,安定鄉,8886,30069,
97Y09M,10011,臺南縣,10011220,山上鄉,2701,8040,
97Y09M,10011,臺南縣,10011230,玉井鄉,5014,15733,
97Y09M,10011,臺南縣,10011240,楠西鄉,3590,10915,
97Y09M,10011,臺南縣,10011250,南化鄉,2807,8950,
97Y09M,10011,臺南縣,10011260,左鎮鄉,1949,5586,
97Y09M,10011,臺南縣,10011270,仁德鄉,23496,68192,
97Y09M,10011,臺南縣,10011280,歸仁鄉,19689,65664,
97Y09M,10011,臺南縣,10011290,關廟鄉,10483,36758,
97Y09M,10011,臺南縣,10011300,龍崎鄉,1577,4442,
97Y09M,10011,臺南縣,10011310,永康市,71447,212035,
97Y12M,10011,臺南縣,10011010,新營市,26480,78715,
97Y12M,10011,臺南縣,10011020,鹽水鎮,9729,27585,
97Y12M,10011,臺南縣,10011030,白河鎮,10803,31926,
97Y12M,10011,臺南縣,10011040,柳營鄉,7679,23147,
97Y12M,10011,臺南縣,10011050,後壁鄉,8582,26294,
97Y12M,10011,臺南縣,10011060,東山鄉,8098,23532,
97Y12M,10011,臺南縣,10011070,麻豆鎮,14528,46164,
97Y12M,10011,臺南縣,10011080,下營鄉,8951,26612,
97Y12M,10011,臺南縣,10011090,六甲鄉,7477,24211,
97Y12M,10011,臺南縣,10011100,官田鄉,7504,22529,
97Y12M,10011,臺南縣,10011110,大內鄉,4035,11205,
97Y12M,10011,臺南縣,10011120,佳里鎮,18732,59329,
97Y12M,10011,臺南縣,10011130,學甲鎮,9251,28313,
97Y12M,10011,臺南縣,10011140,西港鄉,7632,25415,
97Y12M,10011,臺南縣,10011150,七股鄉,7812,25115,
97Y12M,10011,臺南縣,10011160,將軍鄉,7309,21935,
97Y12M,10011,臺南縣,10011170,北門鄉,4208,12529,
97Y12M,10011,臺南縣,10011180,新化鎮,13312,44469,
97Y12M,10011,臺南縣,10011190,善化鎮,13936,43021,
97Y12M,10011,臺南縣,10011200,新市鄉,10541,35307,
97Y12M,10011,臺南縣,10011210,安定鄉,8938,30111,
97Y12M,10011,臺南縣,10011220,山上鄉,2705,8036,
97Y12M,10011,臺南縣,10011230,玉井鄉,5028,15696,
97Y12M,10011,臺南縣,10011240,楠西鄉,3589,10871,
97Y12M,10011,臺南縣,10011250,南化鄉,2824,8980,
97Y12M,10011,臺南縣,10011260,左鎮鄉,1954,5576,
97Y12M,10011,臺南縣,10011270,仁德鄉,23684,68481,
97Y12M,10011,臺南縣,10011280,歸仁鄉,19783,65729,
97Y12M,10011,臺南縣,10011290,關廟鄉,10511,36715,
97Y12M,10011,臺南縣,10011300,龍崎鄉,1592,4464,
97Y12M,10011,臺南縣,10011310,永康市,71736,212540,
98Y03M,10011,臺南縣,10011010,新營市,26527,78677,
98Y03M,10011,臺南縣,10011020,鹽水鎮,9737,27511,
98Y03M,10011,臺南縣,10011030,白河鎮,10823,31953,
98Y03M,10011,臺南縣,10011040,柳營鄉,7695,23120,
98Y03M,10011,臺南縣,10011050,後壁鄉,8602,26242,
98Y03M,10011,臺南縣,10011060,東山鄉,8121,23465,
98Y03M,10011,臺南縣,10011070,麻豆鎮,14562,46153,
98Y03M,10011,臺南縣,10011080,下營鄉,8957,26585,
98Y03M,10011,臺南縣,10011090,六甲鄉,7495,24181,
98Y03M,10011,臺南縣,10011100,官田鄉,7510,22451,
98Y03M,10011,臺南縣,10011110,大內鄉,4048,11186,
98Y03M,10011,臺南縣,10011120,佳里鎮,18819,59394,
98Y03M,10011,臺南縣,10011130,學甲鎮,9276,28234,
98Y03M,10011,臺南縣,10011140,西港鄉,7656,25397,
98Y03M,10011,臺南縣,10011150,七股鄉,7830,25121,
98Y03M,10011,臺南縣,10011160,將軍鄉,7323,21913,
98Y03M,10011,臺南縣,10011170,北門鄉,4234,12557,
98Y03M,10011,臺南縣,10011180,新化鎮,13352,44488,
98Y03M,10011,臺南縣,10011190,善化鎮,13993,43107,
