統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
104Y03M,67000,臺南市,67000010,新營區,28458,78346,
104Y03M,67000,臺南市,67000020,鹽水區,10071,26235,
104Y03M,67000,臺南市,67000030,白河區,10979,29635,
104Y03M,67000,臺南市,67000040,柳營區,7838,21723,
104Y03M,67000,臺南市,67000050,後壁區,8891,24494,
104Y03M,67000,臺南市,67000060,東山區,8284,21828,
104Y03M,67000,臺南市,67000070,麻豆區,15471,45070,
104Y03M,67000,臺南市,67000080,下營區,9112,25013,
104Y03M,67000,臺南市,67000090,六甲區,7706,22750,
104Y03M,67000,臺南市,67000100,官田區,7787,21633,
104Y03M,67000,臺南市,67000110,大內區,3961,10235,
104Y03M,67000,臺南市,67000120,佳里區,20316,59593,
104Y03M,67000,臺南市,67000130,學甲區,9654,26823,
104Y03M,67000,臺南市,67000140,西港區,8050,24881,
104Y03M,67000,臺南市,67000150,七股區,8106,23545,
104Y03M,67000,臺南市,67000160,將軍區,7333,20468,
104Y03M,67000,臺南市,67000170,北門區,4353,11616,
104Y03M,67000,臺南市,67000180,新化區,14206,43757,
104Y03M,67000,臺南市,67000190,善化區,16391,46350,
104Y03M,67000,臺南市,67000200,新市區,11609,35661,
104Y03M,67000,臺南市,67000210,安定區,9784,30278,
104Y03M,67000,臺南市,67000220,山上區,2693,7496,
104Y03M,67000,臺南市,67000230,玉井區,5118,14524,
104Y03M,67000,臺南市,67000240,楠西區,3530,10113,
104Y03M,67000,臺南市,67000250,南化區,2864,8949,
104Y03M,67000,臺南市,67000260,左鎮區,1993,5137,
104Y03M,67000,臺南市,67000270,仁德區,26605,73195,
104Y03M,67000,臺南市,67000280,歸仁區,22030,67613,
104Y03M,67000,臺南市,67000290,關廟區,10885,34806,
104Y03M,67000,臺南市,67000300,龍崎區,1577,4266,
104Y03M,67000,臺南市,67000310,永康區,81307,229330,
104Y03M,67000,臺南市,67000320,東區,71951,190086,
104Y03M,67000,臺南市,67000330,南區,44788,125798,
104Y03M,67000,臺南市,67000340,北區,49756,132620,
104Y03M,67000,臺南市,67000350,安南區,60341,188225,
104Y03M,67000,臺南市,67000360,安平區,24618,65093,
104Y03M,67000,臺南市,67000370,中西區,30833,77921,
104Y06M,67000,臺南市,67000010,新營區,28506,78216,
104Y06M,67000,臺南市,67000020,鹽水區,10084,26221,
104Y06M,67000,臺南市,67000030,白河區,10956,29500,
104Y06M,67000,臺南市,67000040,柳營區,7833,21691,
104Y06M,67000,臺南市,67000050,後壁區,8898,24448,
104Y06M,67000,臺南市,67000060,東山區,8265,21731,
104Y06M,67000,臺南市,67000070,麻豆區,15501,45020,
104Y06M,67000,臺南市,67000080,下營區,9093,24948,
104Y06M,67000,臺南市,67000090,六甲區,7711,22687,
104Y06M,67000,臺南市,67000100,官田區,7780,21593,
104Y06M,67000,臺南市,67000110,大內區,3945,10153,
104Y06M,67000,臺南市,67000120,佳里區,20319,59618,
104Y06M,67000,臺南市,67000130,學甲區,9669,26733,
104Y06M,67000,臺南市,67000140,西港區,8078,24879,
104Y06M,67000,臺南市,67000150,七股區,8099,23518,
104Y06M,67000,臺南市,67000160,將軍區,7317,20412,
104Y06M,67000,臺南市,67000170,北門區,4343,11580,
104Y06M,67000,臺南市,67000180,新化區,14221,43755,
104Y06M,67000,臺南市,67000190,善化區,16536,46577,
104Y06M,67000,臺南市,67000200,新市區,11643,35682,
104Y06M,67000,臺南市,67000210,安定區,9828,30276,
104Y06M,67000,臺南市,67000220,山上區,2691,7489,
104Y06M,67000,臺南市,67000230,玉井區,5119,14455,
104Y06M,67000,臺南市,67000240,楠西區,3539,10086,
104Y06M,67000,臺南市,67000250,南化區,2865,8948,
104Y06M,67000,臺南市,67000260,左鎮區,1992,5105,
104Y06M,67000,臺南市,67000270,仁德區,26697,73374,
104Y06M,67000,臺南市,67000280,歸仁區,22064,67686,
104Y06M,67000,臺南市,67000290,關廟區,10906,34783,
104Y06M,67000,臺南市,67000300,龍崎區,1573,4246,
104Y06M,67000,臺南市,67000310,永康區,81495,229999,
104Y06M,67000,臺南市,67000320,東區,71882,189708,
104Y06M,67000,臺南市,67000330,南區,44844,125824,
104Y06M,67000,臺南市,67000340,北區,49805,132638,
104Y06M,67000,臺南市,67000350,安南區,60609,188741,
104Y06M,67000,臺南市,67000360,安平區,24690,65219,
104Y06M,67000,臺南市,67000370,中西區,30832,77837,
