統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
97Y06M,10021,臺南市,10021010,東區,68784,194307,
97Y06M,10021,臺南市,10021020,南區,42025,127510,
97Y06M,10021,臺南市,10021040,北區,45726,129131,
97Y06M,10021,臺南市,10021060,安南區,51599,175040,
97Y06M,10021,臺南市,10021070,安平區,21522,59862,
97Y06M,10021,臺南市,10021080,中西區,29719,81168,
97Y09M,10021,臺南市,10021010,東區,69225,194247,
97Y09M,10021,臺南市,10021020,南區,42261,127501,
97Y09M,10021,臺南市,10021040,北區,46147,129599,
97Y09M,10021,臺南市,10021060,安南區,51968,175346,
97Y09M,10021,臺南市,10021070,安平區,21855,60409,
97Y09M,10021,臺南市,10021080,中西區,29727,80710,
97Y12M,10021,臺南市,10021010,東區,69198,194234,
97Y12M,10021,臺南市,10021020,南區,42340,127390,
97Y12M,10021,臺南市,10021040,北區,46339,130094,
97Y12M,10021,臺南市,10021060,安南區,52200,175630,
97Y12M,10021,臺南市,10021070,安平區,21929,60613,
97Y12M,10021,臺南市,10021080,中西區,29685,80492,
98Y03M,10021,臺南市,10021010,東區,69492,194436,
98Y03M,10021,臺南市,10021020,南區,42393,127121,
98Y03M,10021,臺南市,10021040,北區,46473,130538,
98Y03M,10021,臺南市,10021060,安南區,52449,176015,
98Y03M,10021,臺南市,10021070,安平區,22023,60701,
98Y03M,10021,臺南市,10021080,中西區,29804,80578,
98Y06M,10021,臺南市,10021010,東區,69806,194506,
98Y06M,10021,臺南市,10021020,南區,42511,126930,
98Y06M,10021,臺南市,10021040,北區,46762,130814,
98Y06M,10021,臺南市,10021060,安南區,52735,176227,
98Y06M,10021,臺南市,10021070,安平區,22215,60999,
98Y06M,10021,臺南市,10021080,中西區,29884,80416,
98Y09M,10021,臺南市,10021010,東區,70182,194424,
98Y09M,10021,臺南市,10021020,南區,42663,126610,
98Y09M,10021,臺南市,10021040,北區,47208,131085,
98Y09M,10021,臺南市,10021060,安南區,53224,176643,
98Y09M,10021,臺南市,10021070,安平區,22502,61447,
98Y09M,10021,臺南市,10021080,中西區,29886,80035,
98Y12M,10021,臺南市,10021010,東區,70248,194401,
98Y12M,10021,臺南市,10021020,南區,42769,126571,
98Y12M,10021,臺南市,10021040,北區,47341,131203,
98Y12M,10021,臺南市,10021060,安南區,53489,177116,
98Y12M,10021,臺南市,10021070,安平區,22594,61740,
98Y12M,10021,臺南市,10021080,中西區,29935,80029,
99Y03M,10021,臺南市,10021010,東區,70461,194484,
99Y03M,10021,臺南市,10021020,南區,42862,126440,
99Y03M,10021,臺南市,10021040,北區,47558,131349,
99Y03M,10021,臺南市,10021060,安南區,53734,177267,
99Y03M,10021,臺南市,10021070,安平區,22729,61914,
99Y03M,10021,臺南市,10021080,中西區,30107,80194,
99Y06M,10021,臺南市,10021010,東區,70591,194258,
99Y06M,10021,臺南市,10021020,南區,43012,126299,
99Y06M,10021,臺南市,10021040,北區,47767,131633,
99Y06M,10021,臺南市,10021060,安南區,54000,177430,
99Y06M,10021,臺南市,10021070,安平區,22861,62133,
99Y06M,10021,臺南市,10021080,中西區,30067,79759,
