統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
100Y03M,67000,臺南市,67000010,新營區,27292,78433,
100Y03M,67000,臺南市,67000020,鹽水區,9947,27033,
100Y03M,67000,臺南市,67000030,白河區,10962,31236,
100Y03M,67000,臺南市,67000040,柳營區,7800,22549,
100Y03M,67000,臺南市,67000050,後壁區,8807,25745,
100Y03M,67000,臺南市,67000060,東山區,8223,22951,
100Y03M,67000,臺南市,67000070,麻豆區,15074,45754,
100Y03M,67000,臺南市,67000080,下營區,9109,26002,
100Y03M,67000,臺南市,67000090,六甲區,7648,23611,
100Y03M,67000,臺南市,67000100,官田區,7613,22125,
100Y03M,67000,臺南市,67000110,大內區,4064,10842,
100Y03M,67000,臺南市,67000120,佳里區,19418,59267,
100Y03M,67000,臺南市,67000130,學甲區,9565,27747,
100Y03M,67000,臺南市,67000140,西港區,7819,25121,
100Y03M,67000,臺南市,67000150,七股區,8009,24782,
100Y03M,67000,臺南市,67000160,將軍區,7438,21455,
100Y03M,67000,臺南市,67000170,北門區,4376,12377,
100Y03M,67000,臺南市,67000180,新化區,13705,44010,
100Y03M,67000,臺南市,67000190,善化區,14642,43588,
100Y03M,67000,臺南市,67000200,新市區,10772,34701,
100Y03M,67000,臺南市,67000210,安定區,9338,30155,
100Y03M,67000,臺南市,67000220,山上區,2712,7811,
100Y03M,67000,臺南市,67000230,玉井區,5083,15347,
100Y03M,67000,臺南市,67000240,楠西區,3575,10582,
100Y03M,67000,臺南市,67000250,南化區,2829,8877,
100Y03M,67000,臺南市,67000260,左鎮區,1972,5452,
100Y03M,67000,臺南市,67000270,仁德區,24782,69406,
100Y03M,67000,臺南市,67000280,歸仁區,20568,65850,
100Y03M,67000,臺南市,67000290,關廟區,10712,35853,
100Y03M,67000,臺南市,67000300,龍崎區,1600,4389,
100Y03M,67000,臺南市,67000310,永康區,75373,217420,
100Y03M,67000,臺南市,67000320,東區,71038,194234,
100Y03M,67000,臺南市,67000330,南區,43394,126049,
100Y03M,67000,臺南市,67000340,北區,48281,131812,
100Y03M,67000,臺南市,67000350,安南區,54810,178452,
100Y03M,67000,臺南市,67000360,安平區,23220,62633,
100Y03M,67000,臺南市,67000370,中西區,30236,79282,
100Y06M,67000,臺南市,67000010,新營區,27384,78528,
100Y06M,67000,臺南市,67000020,鹽水區,9977,26977,
100Y06M,67000,臺南市,67000030,白河區,10969,31154,
100Y06M,67000,臺南市,67000040,柳營區,7792,22457,
100Y06M,67000,臺南市,67000050,後壁區,8822,25683,
100Y06M,67000,臺南市,67000060,東山區,8222,22871,
100Y06M,67000,臺南市,67000070,麻豆區,15108,45753,
100Y06M,67000,臺南市,67000080,下營區,9107,25945,
100Y06M,67000,臺南市,67000090,六甲區,7674,23579,
100Y06M,67000,臺南市,67000100,官田區,7614,22045,
100Y06M,67000,臺南市,67000110,大內區,4063,10797,
100Y06M,67000,臺南市,67000120,佳里區,19466,59227,
100Y06M,67000,臺南市,67000130,學甲區,9574,27682,
100Y06M,67000,臺南市,67000140,西港區,7831,25090,
100Y06M,67000,臺南市,67000150,七股區,8017,24800,
100Y06M,67000,臺南市,67000160,將軍區,7445,21365,
100Y06M,67000,臺南市,67000170,北門區,4391,12310,
100Y06M,67000,臺南市,67000180,新化區,13741,44050,
100Y06M,67000,臺南市,67000190,善化區,14757,43710,
100Y06M,67000,臺南市,67000200,新市區,10866,34849,
100Y06M,67000,臺南市,67000210,安定區,9388,30227,
100Y06M,67000,臺南市,67000220,山上區,2717,7779,
100Y06M,67000,臺南市,67000230,玉井區,5075,15289,
100Y06M,67000,臺南市,67000240,楠西區,3562,10522,
100Y06M,67000,臺南市,67000250,南化區,2834,8834,
100Y06M,67000,臺南市,67000260,左鎮區,1971,5418,
100Y06M,67000,臺南市,67000270,仁德區,24901,69672,
100Y06M,67000,臺南市,67000280,歸仁區,20669,65928,
100Y06M,67000,臺南市,67000290,關廟區,10715,35812,
100Y06M,67000,臺南市,67000300,龍崎區,1595,4364,
100Y06M,67000,臺南市,67000310,永康區,75950,218664,
100Y06M,67000,臺南市,67000320,東區,71194,194093,
100Y06M,67000,臺南市,67000330,南區,43594,126246,
100Y06M,67000,臺南市,67000340,北區,48420,131944,
100Y06M,67000,臺南市,67000350,安南區,55136,178923,
100Y06M,67000,臺南市,67000360,安平區,23378,63051,
100Y06M,67000,臺南市,67000370,中西區,30282,79086,
100Y09M,67000,臺南市,67000010,新營區,27545,78396,
100Y09M,67000,臺南市,67000020,鹽水區,9999,26935,
100Y09M,67000,臺南市,67000030,白河區,10966,31036,
