統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
97Y03M,10011,臺南縣,10011190,善化鎮,13674,42782,
97Y03M,10011,臺南縣,10011200,新市鄉,10410,35382,
97Y03M,10011,臺南縣,10011210,安定鄉,8776,30039,
97Y03M,10011,臺南縣,10011220,山上鄉,2688,8091,
97Y03M,10011,臺南縣,10011230,玉井鄉,4995,15825,
97Y03M,10011,臺南縣,10011240,楠西鄉,3593,10984,
97Y03M,10011,臺南縣,10011250,南化鄉,2811,8972,
97Y03M,10011,臺南縣,10011260,左鎮鄉,1930,5620,
97Y03M,10011,臺南縣,10011270,仁德鄉,23118,67835,
97Y03M,10011,臺南縣,10011280,歸仁鄉,19478,65611,
97Y03M,10011,臺南縣,10011290,關廟鄉,10456,36912,
97Y03M,10011,臺南縣,10011300,龍崎鄉,1559,4424,
97Y03M,10011,臺南縣,10011310,永康市,70482,211067,
97Y03M,10011,臺南縣,10011010,新營市,26214,79049,
97Y03M,10011,臺南縣,10011020,鹽水鎮,9624,27795,
97Y03M,10011,臺南縣,10011030,白河鎮,10726,32237,
97Y03M,10011,臺南縣,10011040,柳營鄉,7572,23197,
97Y03M,10011,臺南縣,10011050,後壁鄉,8450,26374,
97Y03M,10011,臺南縣,10011060,東山鄉,8012,23738,
97Y03M,10011,臺南縣,10011070,麻豆鎮,14316,46354,
97Y03M,10011,臺南縣,10011080,下營鄉,8883,26727,
97Y03M,10011,臺南縣,10011090,六甲鄉,7419,24349,
97Y03M,10011,臺南縣,10011100,官田鄉,7461,22555,
97Y03M,10011,臺南縣,10011110,大內鄉,4005,11297,
97Y03M,10011,臺南縣,10011120,佳里鎮,18448,59289,
97Y03M,10011,臺南縣,10011130,學甲鎮,9180,28529,
97Y03M,10011,臺南縣,10011140,西港鄉,7561,25473,
97Y03M,10011,臺南縣,10011150,七股鄉,7750,25374,
97Y03M,10011,臺南縣,10011160,將軍鄉,7261,21995,
97Y03M,10011,臺南縣,10011170,北門鄉,4164,12569,
97Y03M,10011,臺南縣,10011180,新化鎮,13109,44555,
