統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
99Y09M,10021,臺南市,10021010,東區,70809,194008,
99Y09M,10021,臺南市,10021020,南區,43261,126317,
99Y09M,10021,臺南市,10021040,北區,48130,131897,
99Y09M,10021,臺南市,10021060,安南區,54335,177783,
99Y09M,10021,臺南市,10021070,安平區,23096,62444,
99Y09M,10021,臺南市,10021080,中西區,30156,79439,
99Y12M,10021,臺南市,10021010,東區,70835,194183,
99Y12M,10021,臺南市,10021020,南區,43344,126173,
99Y12M,10021,臺南市,10021040,北區,48178,131925,
99Y12M,10021,臺南市,10021060,安南區,54525,178119,
99Y12M,10021,臺南市,10021070,安平區,23180,62602,
99Y12M,10021,臺南市,10021080,中西區,30184,79271,
