統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
99Y09M,10011,臺南縣,10011010,新營市,27090,78059,
99Y09M,10011,臺南縣,10011020,鹽水鎮,9937,27208,
99Y09M,10011,臺南縣,10011030,白河鎮,10941,31476,
99Y09M,10011,臺南縣,10011040,柳營鄉,7789,22760,
99Y09M,10011,臺南縣,10011050,後壁鄉,8777,25995,
99Y09M,10011,臺南縣,10011060,東山鄉,8213,23167,
99Y09M,10011,臺南縣,10011070,麻豆鎮,15061,45873,
99Y09M,10011,臺南縣,10011080,下營鄉,9075,26151,
99Y09M,10011,臺南縣,10011090,六甲鄉,7595,23750,
99Y09M,10011,臺南縣,10011100,官田鄉,7601,22297,
99Y09M,10011,臺南縣,10011110,大內鄉,4076,10911,
99Y09M,10011,臺南縣,10011120,佳里鎮,19264,59312,
99Y09M,10011,臺南縣,10011130,學甲鎮,9531,27944,
99Y09M,10011,臺南縣,10011140,西港鄉,7796,25224,
99Y09M,10011,臺南縣,10011150,七股鄉,7998,24817,
99Y09M,10011,臺南縣,10011160,將軍鄉,7434,21642,
99Y09M,10011,臺南縣,10011170,北門鄉,4375,12471,
99Y09M,10011,臺南縣,10011180,新化鎮,13688,44116,
99Y09M,10011,臺南縣,10011190,善化鎮,14497,43420,
99Y09M,10011,臺南縣,10011200,新市鄉,10720,34811,
99Y09M,10011,臺南縣,10011210,安定鄉,9280,30212,
99Y09M,10011,臺南縣,10011220,山上鄉,2719,7896,
99Y09M,10011,臺南縣,10011230,玉井鄉,5080,15457,
99Y09M,10011,臺南縣,10011240,楠西鄉,3580,10680,
99Y09M,10011,臺南縣,10011250,南化鄉,2821,8925,
99Y09M,10011,臺南縣,10011260,左鎮鄉,1975,5508,
99Y09M,10011,臺南縣,10011270,仁德鄉,24619,69178,
99Y09M,10011,臺南縣,10011280,歸仁鄉,20416,65816,
99Y09M,10011,臺南縣,10011290,關廟鄉,10691,36065,
99Y09M,10011,臺南縣,10011300,龍崎鄉,1601,4399,
99Y09M,10011,臺南縣,10011310,永康市,74675,216326,
99Y12M,10011,臺南縣,10011010,新營市,27200,78105,
99Y12M,10011,臺南縣,10011020,鹽水鎮,9942,27160,
99Y12M,10011,臺南縣,10011030,白河鎮,10963,31395,
99Y12M,10011,臺南縣,10011040,柳營鄉,7801,22726,
99Y12M,10011,臺南縣,10011050,後壁鄉,8792,25884,
99Y12M,10011,臺南縣,10011060,東山鄉,8218,23117,
99Y12M,10011,臺南縣,10011070,麻豆鎮,15074,45795,
99Y12M,10011,臺南縣,10011080,下營鄉,9108,26119,
99Y12M,10011,臺南縣,10011090,六甲鄉,7625,23694,
99Y12M,10011,臺南縣,10011100,官田鄉,7605,22212,
99Y12M,10011,臺南縣,10011110,大內鄉,4066,10899,
99Y12M,10011,臺南縣,10011120,佳里鎮,19341,59269,
99Y12M,10011,臺南縣,10011130,學甲鎮,9549,27864,
99Y12M,10011,臺南縣,10011140,西港鄉,7812,25200,
99Y12M,10011,臺南縣,10011150,七股鄉,8016,24815,
99Y12M,10011,臺南縣,10011160,將軍鄉,7444,21579,
99Y12M,10011,臺南縣,10011170,北門鄉,4382,12468,
99Y12M,10011,臺南縣,10011180,新化鎮,13683,44096,
99Y12M,10011,臺南縣,10011190,善化鎮,14562,43477,
99Y12M,10011,臺南縣,10011200,新市鄉,10729,34740,
99Y12M,10011,臺南縣,10011210,安定鄉,9306,30232,
99Y12M,10011,臺南縣,10011220,山上鄉,2711,7864,
99Y12M,10011,臺南縣,10011230,玉井鄉,5078,15413,
99Y12M,10011,臺南縣,10011240,楠西鄉,3578,10663,
99Y12M,10011,臺南縣,10011250,南化鄉,2828,8925,
99Y12M,10011,臺南縣,10011260,左鎮鄉,1984,5492,
99Y12M,10011,臺南縣,10011270,仁德鄉,24715,69343,
99Y12M,10011,臺南縣,10011280,歸仁鄉,20510,65819,
99Y12M,10011,臺南縣,10011290,關廟鄉,10721,36026,
99Y12M,10011,臺南縣,10011300,龍崎鄉,1601,4382,
99Y12M,10011,臺南縣,10011310,永康市,74942,216748,
