統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
104Y12M,67000,臺南市,67000010,新營區,28669,78165,
104Y12M,67000,臺南市,67000020,鹽水區,10092,26085,
104Y12M,67000,臺南市,67000030,白河區,10924,29271,
104Y12M,67000,臺南市,67000040,柳營區,7841,21629,
104Y12M,67000,臺南市,67000050,後壁區,8907,24329,
104Y12M,67000,臺南市,67000060,東山區,8242,21603,
104Y12M,67000,臺南市,67000070,麻豆區,15584,44987,
104Y12M,67000,臺南市,67000080,下營區,9099,24786,
104Y12M,67000,臺南市,67000090,六甲區,7730,22586,
104Y12M,67000,臺南市,67000100,官田區,7854,21685,
104Y12M,67000,臺南市,67000110,大內區,3907,10054,
104Y12M,67000,臺南市,67000120,佳里區,20403,59555,
104Y12M,67000,臺南市,67000130,學甲區,9665,26652,
104Y12M,67000,臺南市,67000140,西港區,8115,24921,
104Y12M,67000,臺南市,67000150,七股區,8069,23365,
104Y12M,67000,臺南市,67000160,將軍區,7311,20309,
104Y12M,67000,臺南市,67000170,北門區,4319,11527,
104Y12M,67000,臺南市,67000180,新化區,14294,43828,
104Y12M,67000,臺南市,67000190,善化區,16803,46933,
104Y12M,67000,臺南市,67000200,新市區,11746,35853,
104Y12M,67000,臺南市,67000210,安定區,9876,30331,
104Y12M,67000,臺南市,67000220,山上區,2678,7437,
104Y12M,67000,臺南市,67000230,玉井區,5110,14388,
104Y12M,67000,臺南市,67000240,楠西區,3538,10032,
104Y12M,67000,臺南市,67000250,南化區,2859,8893,
104Y12M,67000,臺南市,67000260,左鎮區,1990,5071,
104Y12M,67000,臺南市,67000270,仁德區,26859,73887,
104Y12M,67000,臺南市,67000280,歸仁區,22252,67906,
104Y12M,67000,臺南市,67000290,關廟區,10974,34719,
104Y12M,67000,臺南市,67000300,龍崎區,1567,4196,
104Y12M,67000,臺南市,67000310,永康區,81796,230806,
104Y12M,67000,臺南市,67000320,東區,71744,188865,
104Y12M,67000,臺南市,67000330,南區,44941,125738,
104Y12M,67000,臺南市,67000340,北區,49896,132651,
104Y12M,67000,臺南市,67000350,安南區,61064,189620,
104Y12M,67000,臺南市,67000360,安平區,24836,65380,
104Y12M,67000,臺南市,67000370,中西區,30771,77498,
105Y03M,67000,臺南市,67000010,新營區,28719,78237,
105Y03M,67000,臺南市,67000020,鹽水區,10082,26035,
105Y03M,67000,臺南市,67000030,白河區,10906,29178,
105Y03M,67000,臺南市,67000040,柳營區,7841,21560,
105Y03M,67000,臺南市,67000050,後壁區,8884,24221,
105Y03M,67000,臺南市,67000060,東山區,8259,21523,
105Y03M,67000,臺南市,67000070,麻豆區,15618,44946,
105Y03M,67000,臺南市,67000080,下營區,9092,24686,
105Y03M,67000,臺南市,67000090,六甲區,7722,22552,
105Y03M,67000,臺南市,67000100,官田區,7828,21589,
105Y03M,67000,臺南市,67000110,大內區,3908,10022,
105Y03M,67000,臺南市,67000120,佳里區,20422,59524,
105Y03M,67000,臺南市,67000130,學甲區,9645,26567,
105Y03M,67000,臺南市,67000140,西港區,8116,24874,
105Y03M,67000,臺南市,67000150,七股區,8056,23357,
105Y03M,67000,臺南市,67000160,將軍區,7301,20237,
105Y03M,67000,臺南市,67000170,北門區,4309,11468,
105Y03M,67000,臺南市,67000180,新化區,14284,43825,
105Y03M,67000,臺南市,67000190,善化區,16899,47089,
105Y03M,67000,臺南市,67000200,新市區,11779,35937,
105Y03M,67000,臺南市,67000210,安定區,9876,30360,
105Y03M,67000,臺南市,67000220,山上區,2686,7398,
105Y03M,67000,臺南市,67000230,玉井區,5118,14360,
105Y03M,67000,臺南市,67000240,楠西區,3536,9987,
105Y03M,67000,臺南市,67000250,南化區,2862,8863,
105Y03M,67000,臺南市,67000260,左鎮區,1991,5056,
105Y03M,67000,臺南市,67000270,仁德區,26915,74038,
105Y03M,67000,臺南市,67000280,歸仁區,22290,67972,
105Y03M,67000,臺南市,67000290,關廟區,10975,34675,
105Y03M,67000,臺南市,67000300,龍崎區,1565,4186,
105Y03M,67000,臺南市,67000310,永康區,81930,231047,
105Y03M,67000,臺南市,67000320,東區,71704,188590,
105Y03M,67000,臺南市,67000330,南區,44965,125700,
105Y03M,67000,臺南市,67000340,北區,49989,132692,
105Y03M,67000,臺南市,67000350,安南區,61201,189881,
105Y03M,67000,臺南市,67000360,安平區,24881,65515,
105Y03M,67000,臺南市,67000370,中西區,30704,77410,
105Y06M,67000,臺南市,67000010,新營區,28782,78202,
105Y06M,67000,臺南市,67000020,鹽水區,10084,25979,
105Y06M,67000,臺南市,67000030,白河區,10884,29023,
105Y06M,67000,臺南市,67000040,柳營區,7827,21497,
105Y06M,67000,臺南市,67000050,後壁區,8889,24208,
105Y06M,67000,臺南市,67000060,東山區,8304,21466,
105Y06M,67000,臺南市,67000070,麻豆區,15658,44887,
105Y06M,67000,臺南市,67000080,下營區,9105,24607,
105Y06M,67000,臺南市,67000090,六甲區,7719,22520,
105Y06M,67000,臺南市,67000100,官田區,7827,21532,
105Y06M,67000,臺南市,67000110,大內區,3896,9966,
105Y06M,67000,臺南市,67000120,佳里區,20496,59556,
105Y06M,67000,臺南市,67000130,學甲區,9652,26527,
105Y06M,67000,臺南市,67000140,西港區,8121,24919,
105Y06M,67000,臺南市,67000150,七股區,8057,23259,
105Y06M,67000,臺南市,67000160,將軍區,7297,20171,
105Y06M,67000,臺南市,67000170,北門區,4298,11418,
105Y06M,67000,臺南市,67000180,新化區,14296,43797,
105Y06M,67000,臺南市,67000190,善化區,17033,47314,
105Y06M,67000,臺南市,67000200,新市區,11833,36021,
105Y06M,67000,臺南市,67000210,安定區,9917,30443,
105Y06M,67000,臺南市,67000220,山上區,2692,7390,
105Y06M,67000,臺南市,67000230,玉井區,5119,14341,
105Y06M,67000,臺南市,67000240,楠西區,3534,9950,
105Y06M,67000,臺南市,67000250,南化區,2860,8837,
105Y06M,67000,臺南市,67000260,左鎮區,1988,5029,
105Y06M,67000,臺南市,67000270,仁德區,27058,74348,
105Y06M,67000,臺南市,67000280,歸仁區,22381,68054,
105Y06M,67000,臺南市,67000290,關廟區,11020,34699,
105Y06M,67000,臺南市,67000300,龍崎區,1559,4138,
105Y06M,67000,臺南市,67000310,永康區,82113,231384,
105Y06M,67000,臺南市,67000320,東區,71725,188295,
105Y06M,67000,臺南市,67000330,南區,45059,125691,
105Y06M,67000,臺南市,67000340,北區,50109,132916,
