           臺南市里鄰編組及調整情形一覽表
 區別   調整後里別       調整前里別          實施日期
新市區    大社里  大社里                107年1月29日
新市區    大營里  大營里                107年1月29日
新市區    三舍里  三舍里                107年1月29日
新市區    新和里  新和里；另與新市里、社內里進行里界調整                   107年1月29日
新市區    新市里  新市里；另與新和里進行里界調整    107年1月29日
新市區    社內里  社內里；另與新和里、永就里、大洲里、豐華里進行里界調整                   107年1月29日
新市區    永就里  永就里；與社內里、潭頂里、港墘里進行里界調整                   107年1月29日
新市區    港墘里  港墘里；另與永就里進行里界調整    107年1月29日
新市區    潭頂里  潭頂里；另與永就里進行里界調整    107年1月29日
新市區    大洲里  大洲里；另與社內里進行里界調整    107年1月29日
新市區    豐華里  豐華里；另與社內里進行里界調整    107年1月29日




                第 1 頁，共 1 頁

