           臺南市里鄰編組及調整情形一覽表
 區別   調整後里別       調整前里別          實施日期
西港區    西港里  西港里；另與營西里進行里界調整    107年1月29日
西港區    永樂里  永樂里；另與新復里進行里界調整    107年1月29日
西港區    竹林里  竹林里；另與慶安里進行里界調整    107年1月29日
西港區    金砂里  金砂里                107年1月29日
西港區    南海里  南海里；另與新復里進行里界調整    107年1月29日
西港區    後營里  後營里                107年1月29日
西港區    港東里  港東里                107年1月29日
西港區    新復里  新復里；另與劉厝里、永樂里、南海里進行里界調整                   107年1月29日
西港區    劉厝里  劉厝里；另與新復里進行里界調整    107年1月29日
西港區    慶安里  慶安里；另與竹林里進行里界調整    107年1月29日
西港區    檨林里  檨林里                107年1月29日
西港區    營西里  營西里；另與西港里進行里界調整    107年1月29日




                第 1 頁，共 1 頁

