           臺南市里鄰編組及調整情形一覽表
 區別   調整後里別       調整前里別          實施日期
仁德區    太子里  太子里；另與土庫里進行里界調整    107年1月29日
仁德區    土庫里  土庫里；另與太子里進行里界調整    107年1月29日
仁德區    一甲里  一甲里；另與仁義里進行里界調整    107年1月29日
仁德區    仁德里  仁德里                107年1月29日
仁德區    仁義里  仁義里；另與一甲里、新田里進行里界調整                   107年1月29日
仁德區    新田里  新田里；另與仁義里進行里界調整    107年1月29日
仁德區    保安里  保安里                107年1月29日
仁德區    二行里  二行里；另與大甲里、成功里進行里界調整                   107年1月29日
仁德區    大甲里  大甲里；另與二行里進行里界調整    107年1月29日
仁德區    中洲里  中洲里、中生里            107年1月29日
仁德區    後壁里  後壁里；另與上崙里、成功里進行里界調整                   107年4月30日
仁德區    上崙里  上崙里；另與後壁里、田厝里進行里界調整                   107年4月30日
仁德區    文賢里  三甲里、田厝里；另與上崙里、成功里進行里界調整                   107年4月30日
仁德區    成功里  成功里；另與後壁里、仁和里、田厝里、二行里進行里界調整                   107年4月30日
仁德區    仁和里  仁和里；另與成功里、仁愛里進行里界調整                   107年4月30日
仁德區    仁愛里  仁愛里；另與仁和里進行里界調整    107年4月30日




                第 1 頁，共 1 頁

