,"      違反勞動基準法而依第79條第3項公布之相關資料",,,,
"項次","事業單位/事業主","違反","違反法規內容","處分書文號","處分日期"
,,"法令條款",,,
1,"益通動能科技股份有限公司","勞動基準法第22條第2項","工資未全額直接給付勞工",1020863584,"102.10.7"
