X坐標,Y坐標,原地址,結果地址,說明
166111.32,2544057.74,台南市 建平十四街105號,臺南市安平區建平里13鄰建平十四街105號,[臺南市] { 完全比對 } 找到符合的門牌地址
168078.075,2542889.481,台南市 南寧街136巷6號,臺南市中西區進學里5鄰南寧街136巷6號,[臺南市] { 完全比對 } 找到符合的門牌地址
168489.57,2543013.19,台南市 南門路151號,臺南市中西區郡王里11鄰南門路151號,[臺南市] { 模糊比對 } (南門路)找到符合的[路街名]，(151號)找到符合的[門牌號碼]，進行[單號過濾]，模糊比對找到 2 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
168120.908,2542984.36,台南市 樹林街二段171號,臺南市中西區進學里3鄰樹林街二段171號,[臺南市] { 完全比對 } 找到符合的門牌地址
167138.2,2547338.19,台南市 海佃路一段254號,臺南市安南區溪墘里6鄰海佃路一段252號,[臺南市] { 模糊比對 } (海佃路)找到符合的[路街名]，(1)找到符合的[路段]，(254號)進行[雙號過濾]，進行[找大於且最接近的門牌號碼]，找到大於輸入的門牌號碼 +4 號，進行[找小於且最接近的門牌號碼]，找到小於輸入的門牌號碼 -2 號，模糊比對找到 2 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
167293.03,2548454.87,台南市 海佃路二段150巷112弄1之36號,臺南市安南區理想里8鄰海佃路二段150巷112弄1之36號,[臺南市] { 完全比對 } 找到符合的門牌地址
167580.31,2543131.73,台南市 永華路一段42號,臺南市中西區元安里2鄰永華路一段42號,[臺南市] { 完全比對 } 找到符合的門牌地址
170706.96,2541257.32,台南市 崇明十七街31號,臺南市東區崇成里16鄰崇明十七街31號,[臺南市] { 完全比對 } 找到符合的門牌地址
165990.9,2542850.43,台南市 建平一街23巷56號,臺南市安平區文平里23鄰建平一街23巷56號,[臺南市] { 完全比對 } 找到符合的門牌地址
165293.68,2544394.58,台南市 安平路446巷26號,臺南市安平區平安里10鄰安平路446巷26號,[臺南市] { 完全比對 } 找到符合的門牌地址
167802.1,2542683.27,台南市 西門路一段482巷15號,臺南市中西區仙草里14鄰西門路一段482巷15號,[臺南市] { 完全比對 } 找到符合的門牌地址
167177.71,2544225.55,台南市 濟生街1號,臺南市中西區協進里3鄰濟生街1號,[臺南市] { 完全比對 } 找到符合的門牌地址
166456.74,2544156.54,台南市 建平十七街3號,臺南市安平區建平里1鄰建平十七街3號,[臺南市] { 完全比對 } 找到符合的門牌地址
166581.68,2544151.23,台南市 中華西路二段489號,臺南市安平區建平里8鄰中華西路二段489號,[臺南市] { 完全比對 } 找到符合的門牌地址
170665.81,2543162.58,台南市 裕豐路185巷49號,臺南市東區新東里19鄰裕豐街185巷49號,[臺南市] { 模糊比對 } (裕豐路)找不到符合的[路街名]，進行轉換搜尋[街變成路，路變成街]，轉換搜尋找到符合的[路街名]，(185巷)找到符合的[巷]，(49號)找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
170362.87,2545401.18,台南市 林森路三段237號,臺南市北區華興里1鄰林森路三段237號,[臺南市] { 完全比對 } 找到符合的門牌地址
170360.95,2545404.65,台南市 林森路三段239號,臺南市北區華興里1鄰林森路三段239號,[臺南市] { 完全比對 } 找到符合的門牌地址
170358.3,2545408.13,台南市 林森路三段241號,臺南市北區華興里1鄰林森路三段241號,[臺南市] { 完全比對 } 找到符合的門牌地址
169540.13,2549616.51,台南市 安生街106巷14號,臺南市安南區新順里2鄰安生街106巷14號,[臺南市] { 完全比對 } 找到符合的門牌地址
166495.83,2549527.3,台南市 海佃路二段637號,臺南市安南區溪心里2鄰海佃路二段637號,[臺南市] { 完全比對 } 找到符合的門牌地址
169450.89,2541456.38,台南市 中華南路一段10號,臺南市南區大忠里1鄰中華南路一段10號,[臺南市] { 完全比對 } 找到符合的門牌地址
167440.05,2542666.98,台南市 夏林路68號,臺南市南區廣州里27鄰夏林路68號,[臺南市] { 完全比對 } 找到符合的門牌地址
168959.48,2542070.4,台南市 健康路一段113巷65弄22號,臺南市南區竹溪里1鄰健康路一段113巷65弄22號,[臺南市] { 完全比對 } 找到符合的門牌地址
170616.9,2545135.64,台南市 開南街135號,臺南市北區華興里19鄰開南街135號,[臺南市] { 完全比對 } 找到符合的門牌地址
169072.33,2543176.74,台南市 大同路一段46巷60號,臺南市中西區開山里10鄰大同路一段46巷60號,[臺南市] { 完全比對 } 找到符合的門牌地址
167429.83,2539993.39,台南市 永成路二段827巷25弄67號,臺南市南區建南里23鄰永成路二段827巷25弄67號,[臺南市] { 完全比對 } 找到符合的門牌地址
167428.71,2546423.87,台南市 中華北路二段25巷26弄1號,臺南市北區文元里12鄰中華北路二段25巷26弄1號,[臺南市] { 完全比對 } 找到符合的門牌地址
165924.44,2561288.81,台南市 勝利路55之3號,臺南市佳里區鎮山里13鄰勝利路55號,[臺南市] { 模糊比對 } (勝利路)找到符合的[路街名]，(55之3號)找到符合的[門牌號碼]，進行[單號過濾]，模糊比對找到 3 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
